,Control,Vitiligo,predicted,observed,
GSM1283005,0.46384,0.53616,Vitiligo,Control,0
GSM1283006,0.3793,0.6207,Vitiligo,Control,0
GSM1283007,0.33548,0.66452,Vitiligo,Control,0
GSM1283008,0.3898,0.6102,Vitiligo,Control,0
GSM1283009,0.5205,0.4795,Control,Vitiligo,0
GSM1283010,0.56978,0.43022,Control,Vitiligo,0
GSM1283011,0.5618,0.4382,Control,Vitiligo,0
GSM1283012,0.54224,0.45776,Control,Vitiligo,0
GSM1587709,0.72152,0.27848,Control,Control,1
GSM1587710,0.74672,0.25328,Control,Control,1
GSM1587711,0.58896,0.41104,Control,Control,1
GSM1587712,0.82964,0.17036,Control,Control,1
GSM1587714,0.70364,0.29636,Control,Control,1
GSM1587717,0.80782,0.19218,Control,Control,1
GSM1587718,0.84996,0.15004,Control,Control,1
GSM1587719,0.75468,0.24532,Control,Vitiligo,0
GSM1587721,0.36722,0.63278,Vitiligo,Vitiligo,1
GSM1587722,0.58444,0.41556,Control,Vitiligo,0
GSM1587723,0.48644,0.51356,Vitiligo,Vitiligo,1
GSM1587724,0.44934,0.55066,Vitiligo,Vitiligo,1
GSM1587726,0.51886,0.48114,Control,Vitiligo,0
GSM1587728,0.61842,0.38158,Control,Vitiligo,0
GSM1587729,0.7898,0.2102,Control,Control,1
GSM1587731,0.60118,0.39882,Control,Control,1
GSM1587732,0.70546,0.29454,Control,Control,1
GSM1587733,0.69584,0.30416,Control,Control,1
GSM1587734,0.8175,0.1825,Control,Control,1
GSM1587735,0.84282,0.15718,Control,Control,1
GSM1587736,0.6945,0.3055,Control,Control,1
GSM1587737,0.74132,0.25868,Control,Control,1
GSM1587738,0.68136,0.31864,Control,Control,1
GSM1968434,0.93758,0.06242,Control,Control,1
GSM1968435,0.0893,0.9107,Vitiligo,Vitiligo,1
GSM1968437,0.2255,0.7745,Vitiligo,Vitiligo,1
GSM1968438,0.72428,0.27572,Control,Control,1
GSM1968439,0.12642,0.87358,Vitiligo,Vitiligo,1
GSM1968440,0.67706,0.32294,Control,Control,1
GSM1968441,0.09592,0.90408,Vitiligo,Vitiligo,1
GSM1968442,0.60178,0.39822,Control,Control,1
GSM1968443,0.08204,0.91796,Vitiligo,Vitiligo,1
GSM1968444,0.85296,0.14704,Control,Control,1
GSM1968445,0.25782,0.74218,Vitiligo,Vitiligo,1
GSM1968446,0.9115,0.0885,Control,Control,1
GSM1968447,0.18354,0.81646,Vitiligo,Vitiligo,1
GSM1968448,0.75298,0.24702,Control,Control,1
GSM1968449,0.18268,0.81732,Vitiligo,Vitiligo,1
GSM1968452,0.85366,0.14634,Control,Control,1
GSM1968453,0.09872,0.90128,Vitiligo,Vitiligo,1
GSM1968454,0.88754,0.11246,Control,Control,1
GSM1968455,0.12034,0.87966,Vitiligo,Vitiligo,1
GSM1968456,0.94206,0.05794,Control,Control,1
GSM1968457,0.05258,0.94742,Vitiligo,Vitiligo,1
GSM1968458,0.84246,0.15754,Control,Control,1
GSM1968460,0.96166,0.03834,Control,Control,1
GSM1968461,0.15392,0.84608,Vitiligo,Vitiligo,1
GSM1968463,0.25484,0.74516,Vitiligo,Vitiligo,1
