Index,Variables,ENTREZ_ID,Symbol,Control,Vitiligo,MeanDecreaseAccuracy,MeanDecreaseGini
1895,ENTREZ_1638,1638,DCT,3.216211407,3.431724829,3.491178592,0.352195259
7931,ENTREZ_6490,6490,PMEL,3.168768001,3.179774138,3.408597923,0.393577259
3854,ENTREZ_2907,2907,GRINA,1.812678226,2.542383488,2.470436333,0.252111753
4698,ENTREZ_401115,401115,C4orf48,2.191115699,2.208208848,2.312837692,0.190044738
265,ENTREZ_103910,103910,MYL12B,2.128090203,2.214722453,2.194184604,0.138078688
3556,ENTREZ_27257,27257,LSM1,1.727000606,2.239841065,2.149708023,0.139493418
1715,ENTREZ_152404,152404,IGSF11,1.931374744,2.186797848,2.133314488,0.066075694
5813,ENTREZ_5339,5339,PLEC,1.984899127,2.116468802,2.111317989,0.142493697
8205,ENTREZ_6811,6811,STX5,2.027083783,2.011309999,2.035197757,0.087781977
6709,ENTREZ_55863,55863,TMEM126B,1.967215031,1.945610574,2.022878036,0.10222502
6235,ENTREZ_55055,55055,ZWILCH,2.059702957,1.729913011,2.01258634,0.178021536
4757,ENTREZ_4085,4085,MAD2L1,1.818086733,1.904446637,1.983751705,0.210678883
8493,ENTREZ_7392,7392,USF2,1.25974436,1.877969463,1.894715848,0.06612254
5145,ENTREZ_4935,4935,GPR143,1.965768446,1.637280262,1.870797764,0.066148663
10613,ENTREZ_93210,93210,PGAP3,1.851082465,1.850090321,1.847744597,0.099508502
9029,ENTREZ_79959,79959,CEP76,-1.001001503,1.841407511,1.842950269,0.093327688
6195,ENTREZ_54996,54996,MARC2,1.326131851,1.904046942,1.837306595,0.063676293
9411,ENTREZ_83541,83541,FAM110A,1.711337391,1.824195339,1.834422314,0.089019485
5506,ENTREZ_51382,51382,ATP6V1D,1.562627878,1.969848892,1.829545335,0.089265142
9671,ENTREZ_84365,84365,NIFK,1.480444396,1.954599659,1.80744459,0.116042204
7985,ENTREZ_65109,65109,UPF3B,1.275024047,1.980399388,1.782705277,0.098291138
1168,ENTREZ_125058,125058,TBC1D16,1.68517769,1.77129084,1.782688779,0.066148855
4631,ENTREZ_3927,3927,LASP1,1.545028387,1.399641645,1.736815967,0.060020513
11071,ENTREZ_9961,9961,MVP,1.359252073,1.614806796,1.734033563,0.059164502
5598,ENTREZ_51574,51574,LARP7,1.412859872,1.289591936,1.73196249,0.080566846
7657,ENTREZ_63827,63827,BCAN,1.637365307,1.719587191,1.73129966,0.047117424
3338,ENTREZ_2618,2618,GART,1.405100663,1.845495185,1.728165735,0.108554342
6269,ENTREZ_55109,55109,AGGF1,1.709307412,1.716932483,1.726775388,0.103192437
10546,ENTREZ_9249,9249,DHRS3,1.71769867,1.715785729,1.720866276,0.066557011
5630,ENTREZ_51639,51639,SF3B6,1.712073035,1.684806483,1.717432775,0.076934954
10280,ENTREZ_90231,90231,KIAA2013,1.699753027,1.374578563,1.691723214,0.078453498
7614,ENTREZ_6293,6293,VPS52,1.672899574,1.704340928,1.689659804,0.088937832
11055,ENTREZ_9933,9933,PUM3,1.71058925,1.541059048,1.658150211,0.071887573
1495,ENTREZ_1428,1428,CRYM,1.416075693,1.626858603,1.656843159,0.050147692
1201,ENTREZ_126321,126321,MFSD12,1.580209635,1.651999041,1.644444037,0.047709955
10948,ENTREZ_9781,9781,RNF144A,1.672087123,1.589806214,1.644394886,0.051069834
2974,ENTREZ_23646,23646,PLD3,0.577542816,1.67154338,1.637330668,0.085725858
4800,ENTREZ_415117,415117,STX19,1.408348959,1.3932675,1.632639179,0.071013938
419,ENTREZ_10594,10594,PRPF8,1.550655574,1.604201131,1.630792477,0.094169113
4804,ENTREZ_4157,4157,MC1R,1.668581719,1.552430605,1.630508907,0.058680173
7424,ENTREZ_5962,5962,RDX,1.725258988,1.397694154,1.62512977,0.032388142
8509,ENTREZ_7419,7419,VDAC3,-0.331868369,1.670195457,1.624400659,0.075539431
7735,ENTREZ_64135,64135,IFIH1,1.358072985,1.71091281,1.621954477,0.104014327
8103,ENTREZ_6637,6637,SNRPG,1.663973027,1.543113789,1.611098898,0.059953434
5765,ENTREZ_5283,5283,PIGH,1.216207943,1.779398508,1.608008331,0.081806522
9072,ENTREZ_80110,80110,ZNF614,1.394103773,1.412136112,1.60336768,0.0414289
8695,ENTREZ_79009,79009,DDX50,1.614879904,1.607396981,1.600790033,0.089366613
2841,ENTREZ_23412,23412,COMMD3,1.405100663,1.589883466,1.590094568,0.092556414
2422,ENTREZ_221692,221692,PHACTR1,1.364369486,1.659193515,1.574329317,0.043922451
5272,ENTREZ_51013,51013,EXOSC1,0.831969961,1.622839237,1.566977101,0.082935926
5157,ENTREZ_4948,4948,OCA2,1.402752094,1.52916167,1.563025193,0.079464338
1768,ENTREZ_155066,155066,ATP6V0E2,1.349602133,1.67401492,1.543540717,0.102589769
8863,ENTREZ_79657,79657,RPAP3,1.001001503,1.707430117,1.526718759,0.044128805
